CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
租賃,文山區,房屋,,興隆路四段8巷1弄3號四樓,0,,1150506,土地:建物:1車位:房間個數:,,四層,004,公寓(無電梯),住家用,,,6.35,1,0,1,有,無,熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,1,1023.62,否,,0,0,,,,,,獨立套房,115/05/25至118/05/24,無,社會住宅包租轉租
租賃,松山區,房屋,,民生東路五段138巷3號二樓之7,0,,1150501,土地:建物:車位:房間個數:1,,二層,012,住宅大樓(11層含以上有電梯),住家用,,,4.98,6,1,3,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,1,2510.04,否,,0,0,,,,,205室,分租雅房,115/05/04至116/05/03,無,一般轉租
買賣,中山區,房地(土地+建物)+車位,,松江路204巷18號十樓,11.76,,1100707,土地:1建物:1車位:1,,十層,,華廈(10層含以下有電梯),見其他登記事項,,,66.31,3,1,2,有,,,6900,111.31,否,塔式車位1,6.12,200,有,,,,預售屋、或土地及建物分件登記案件。1.本預售屋於113年7月4日簽訂轉讓契約，金額不變。,,,,
買賣,信義區,土地,,逸仙段二小段0366-0000地號,8.29,,1150519,土地:4建物:0車位:,,,,,,,,0,,,,無,,,526,63.45,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,萬華區,房屋,,環河南路三段179號四樓,0,,1150505,土地:建物:1車位:房間個數:,,四層,005,華廈(10層含以下有電梯),住家用,,,27.91,2,2,2,有,有,冷氣3台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,3,895.74,否,,0,0,,,,,管理費每個月1000元不包含在租金內,整棟(戶)出租,115/05/20至116/05/19,有,社會住宅代管
租賃,信義區,房屋,,松仁路308巷66號二樓,0,,1150501,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),住家用,,,28.67,3,2,2,有,無,熱水器,2,697.59,否,,0,0,,,,,,整棟(戶)出租,115/05/07至116/05/06,無,一般包租
租賃,中山區,房屋,,四平街61號,0,,1150505,土地:建物:1車位:房間個數:,,一層,004,店面(店鋪),,,,16.9,0,0,1,有,無,無,4,2544.38,否,,0,0,,,,,租金：含稅。承租部份面積含公設約16.9坪。,,115/08/01至117/07/31,無,
租賃,文山區,房屋,,辛亥路七段76巷17號四樓,0,,1150501,土地:建物:1車位:房間個數:,,四層,004,公寓(無電梯),住家用,,,22.59,2,2,1,有,無,冷氣3台、熱水器、瓦斯或天然氣、有線電視,3,1106.68,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/15至116/05/14,無,社會住宅代管
租賃,大安區,房屋,,敦化南路二段63巷59號,0,,1130614,土地:建物:1車位:房間個數:,,一層,017,住宅大樓(11層含以上有電梯),住家用,,,79.1,4,0,2,有,有,無,12,1517.07,否,,0,0,,,,,租金：含稅。其他：續租案件。,,113/06/15至114/06/14,有,
租賃,士林區,房屋,,延平北路五段136巷36號,0,,1150501,土地:建物:1車位:房間個數:,,一層,004,公寓(無電梯),住家用,,,24.04,0,1,1,有,無,無,3,1372.71,否,,0,0,,,,,,,115/06/01至117/05/31,無,
買賣,松山區,房地(土地+建物),,南京東路五段250巷18弄1號六樓之3,4.5,,1150507,土地:1建物:1車位:,,"六層,陽臺",,華廈(10層含以下有電梯),住家用,,,15.76,5,2,3,有,,,900,57.11,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
預售屋,北投區,房地(土地+建物)+車位,大隱奇岩,臺北市北投區奇岩里三合街117巷,8,,1150504,土地:1建物:1車位:1,0棟A-2F號,二層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,42.92,3,2,2,有,,,3720,109.69,否,坡道平面1,12.38,370,,18.39,1.46,23.07,,,,,
租賃,松山區,房屋,,南京東路五段63號六樓之1,0,,1150501,土地:0建物:車位:房間個數:1,,六層,014,住宅大樓(11層含以上有電梯),商業用,,,8.49,4,1,2,有,有,冷氣1台,1,1625.44,否,,0,0,,,,,租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/01至115/05/31,有,一般轉租
租賃,中正區,房屋,,寧波西街153巷3號,0,,1150501,土地:建物:車位:房間個數:1,,一層,004,公寓(無電梯),住家用,,,6.49,4,1,1,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,1895.22,否,,0,0,,,,,承租人：多人共同承租，共2人。其他：續租案件。,分租雅房,115/05/01至115/07/31,無,一般轉租
買賣,大安區,房地(土地+建物)+車位,,仁愛路四段33號十樓之2,6.64,,1150514,土地:4建物:1車位:1,,十層,,大樓(11層含以上有電梯),住家用,,,69.33,0,1,1,有,,,6500,106.03,否,坡道平面1,12.74,500,有,,,,建築物含有：其他增建。,,,,
租賃,中山區,房屋,,農安街26號八樓之3,0,,1150503,土地:0建物:車位:房間個數:2,,八層,012,住宅大樓(11層含以上有電梯),住家用,,,12.4,6,4,4,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,4,3024.19,否,,0,0,,,,,承租人：多人共同承租，共2人。租金：含下列其他衍生費用：網路費、其他-有線電視。,分租套房,115/05/03至116/05/09,有,一般代管
租賃,萬華區,房屋,,成都路96號七樓之3,0,,1150506,土地:建物:1車位:房間個數:,,七層,012,住宅大樓(11層含以上有電梯),商業用,,,7.06,1,0,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,2,2124.65,否,,0,0,,,,,其他：續租案件。國家住宅及都市更新中心社會住宅包租代管計畫之物件。,獨立套房,115/06/01至116/05/31,有,社會住宅代管
買賣,大同區,土地,,橋北段一小段0152-0000地號,1.17,,1150519,土地:2建物:0車位:,,,,,,,,0,,,,無,,,47,40.17,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,大安區,房屋,,溫州街12巷22之2號,0,,1150425,土地:建物:1車位:房間個數:,,三層,004,公寓(無電梯),住家用,,,24.64,3,2,2,有,無,無,4,1420.45,否,,0,0,,,,,,整棟(戶)出租,115/05/10至116/05/09,無,無
買賣,中山區,房地(土地+建物),,民生西路6號六樓之1,3.87,,1150317,土地:1建物:2車位:,,六層,,大樓(11層含以上有電梯),商業用,,,39.69,3,2,2,有,,,3125,78.74,否,,0,0,有,,,,建築物含有：陽台外推、其他增建。,,,,
租賃,大安區,房屋,,和平東路三段420號五樓之1,0,,1150506,土地:建物:1車位:房間個數:,,五層,007,華廈(10層含以下有電梯),住家用,,,20.8,2,1,1,有,有,冷氣3台、熱水器、瓦斯或天然氣,3,1586.54,否,,0,0,,,,,其他：續租案件。國家住宅及都市更新中心社會住宅包租代管計畫之物件。,整棟(戶)出租,115/05/15至116/05/14,有,社會住宅代管
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,14.73,,1150506,土地:21建物:1車位:3,D棟D2-13F號,十三層,027,廠辦,商業用,見其他登記事項,,158.56,,,,無,,,10464,71.21,否,坡道平面3,22.56,780,,76.15,3.09,79.32,,,,,
租賃,大安區,房屋,,大安路二段66號二樓之5,0,,1150502,土地:建物:1車位:房間個數:,,二層,012,住宅大樓(11層含以上有電梯),住家用,,,13.43,1,1,1,有,有,無,3,2457.19,否,,0,0,,,,,承租人：多人共同承租，共2人。租金：含下列其他衍生費用：管理費。,整棟(戶)出租,115/05/02至116/05/01,有,無
