CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
租賃,大安區,房屋,,金山南路二段101巷1號三樓,0,,1150504,土地:建物:1車位:房間個數:,,三層,005,公寓(無電梯),住家用,,,31.33,3,2,2,有,無,冷氣5台、熱水器、瓦斯或天然氣,4,1276.73,否,,0,0,,,,,承租人：多人共同承租，共2人。,整棟(戶)出租,115/05/15至117/05/14,無,無
預售屋,大同區,房地(土地+建物)+車位,天光之埕,臺北市大同區永樂里西寧北路,3.54,,1150503,土地:20建物:1車位:1,0棟J號,十九層,022,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,57.62,3,2,2,有,,,5580,122.13,否,坡道平面1,14.55,320,,27.17,1.65,28.79,,,,,
租賃,萬華區,房屋,,西園路二段283號,0,,1150501,土地:建物:車位:房間個數:1,,三層,004,透天厝,工業用,,,6.62,17,4,17,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,2,0,-,,0,0,,,,,304室,分租套房,115/05/04至116/05/03,無,一般轉租
租賃,萬華區,房屋,,環河南路二段35巷15弄1號,0,,1150501,土地:建物:車位:房間個數:1,,三層,003,透天厝,住家用,,,5.99,2,0,2,有,無,無,1,0,-,,0,0,,,,,租賃標的：租賃建物部分範圍，且未計入共有部分面積。其他：續租案件。,分租套房,115/06/01至116/05/31,無,一般代管
租賃,北投區,房屋,,西安街一段167號,0,,1150506,土地:建物:4車位:房間個數:0,,見其他登記事項,004,公寓(無電梯),住家用,,,111.86,1,4,4,有,無,無,19,1698.55,否,,0,0,,,,,租賃標的：含有多個門牌且未個別計算租金-西安街一段167號、西安街一段167號二樓、西安街一段167號三樓、西安街一段167號四樓、含增建或未登記建物、租賃期間有約定不同租金-民國115年5月6日至民國120年5月5日為新台幣拾玖萬元整；民國120年5月6日至民國125年5月5日調整為新台幣貳拾萬伍仟元整。。自民國115年05月06日起至民國115年08月05日止為免租金裝潢期。,,115/05/06至125/05/05,無,
買賣,內湖區,房地(土地+建物),,環山路一段100號三樓,7.95,,1150512,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,22.41,3,2,1,有,,,1250,55.78,否,,0,0,無,,,,,,,,
買賣,士林區,房地(土地+建物)+車位,,至誠路二段39號二樓,10.43,,1141220,土地:1建物:1車位:1,,二層,,公寓(5樓含以下無電梯),住家用,,,41.35,3,2,2,有,,,2500,65.19,否,坡道平面1,7.6,300,無,,,,建築物含有：其他增建。,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,14.73,,1150506,土地:21建物:1車位:4,D棟D3-17F號,十七層,027,廠辦,商業用,見其他登記事項,,166.08,,,,無,,,10824,71.21,否,坡道平面4,30.08,1140,,76.15,3.09,86.84,,,,,
買賣,信義區,房地(土地+建物),,光復南路547號三樓之4,1.72,,1150510,土地:1建物:1車位:,,三層,,大樓(11層含以上有電梯),商業用,,,15.55,,,,無,,,1488,95.69,否,,0,0,有,,,,,,,,
買賣,信義區,房地(土地+建物),,忠孝東路五段790巷72弄10號,12.23,,1150422,土地:2建物:1車位:,,一層,,公寓(5樓含以下無電梯),住家用,,,33.42,3,2,2,有,,,1120,33.51,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,內湖區,房地(土地+建物),,內湖路一段203巷9號六樓之1,5.87,,1150308,土地:1建物:1車位:,,"六層,電梯樓梯間",,華廈(10層含以下有電梯),住家用,,,19.57,2,2,1,有,,,2030,103.73,否,,0,0,有,,,,建築物含有：其他增建。,,,,
買賣,中山區,房地(土地+建物),,松江路194巷22號六樓,3.6,,1150511,土地:3建物:1車位:,,六層,,華廈(10層含以下有電梯),住家用,,,9.86,2,1,1,有,,,500,50.71,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
租賃,南港區,房屋,,三重路41巷19號二樓,0,,1150501,土地:建物:1車位:房間個數:0,,二層,013,住宅大樓(11層含以上有電梯),見其他登記事項,,,40.57,2,2,2,有,有,冷氣4台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,5,1109.19,否,,0,0,,,,,,整棟(戶)出租,115/05/16至117/05/15,有,無
買賣,中山區,房地(土地+建物),,市民大道三段7號九樓,1.34,,1110531,土地:2建物:1車位:,,九層,,大樓(11層含以上有電梯),見其他登記事項,,,12.23,1,1,1,有,,,1433,117.17,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。預售屋、或土地及建物分件登記案件。114.09.25簽訂『房定預定買賣契約讓度協議書』，交易總價不變,,,,
租賃,士林區,房屋,,福港街224巷10號四樓,0,,1150507,土地:建物:車位:房間個數:1,,四層,005,公寓(無電梯),住家用,,,4.68,4,0,4,有,無,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,1,1709.4,否,,0,0,,,,,租金：含下列其他衍生費用：水費、網路費、其他-MOD。租賃標的：租賃建物部分範圍，且未計入共有部分面積。承租 A房,分租套房,115/05/10至116/05/09,無,一般代管
買賣,中山區,房地(土地+建物),,市民大道三段13號五樓,1.34,,1110531,土地:2建物:1車位:,,五層,,大樓(11層含以上有電梯),見其他登記事項,,,12.23,1,1,1,有,,,1378,112.67,否,,0,0,有,,,,預售屋、或土地及建物分件登記案件。114.03.03簽訂『房定預定買賣契約讓度協議書』，交易總價不變,,,,
買賣,北投區,房地(土地+建物),,石牌路二段325巷6之2號,60.32,,1150320,土地:1建物:4車位:,,"一層,二層",,華廈(10層含以下有電梯),住家用,,,277.74,,,,無,,,14000,50.41,否,,0,0,有,,,,特殊交易情況、條件：具重建或重劃、都更等效益。目前已拆除,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,15.84,,1150506,土地:21建物:1車位:3,D棟D1-11F號,十一層,027,廠辦,商業用,見其他登記事項,,168.81,,,,無,,,11018,70,否,坡道平面3,22.56,780,,82.19,3.03,83.59,,,,,
買賣,萬華區,房地(土地+建物),,長沙街二段89號二十一樓之1,0.8,,1150419,土地:1建物:1車位:,,二十一層,,大樓(11層含以上有電梯),商業用,,,9.43,,,,無,,,715,75.82,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
買賣,文山區,房地(土地+建物),,辛亥路四段77巷92弄9號三樓之12,10.96,,1150418,土地:3建物:1車位:,,三層,,大樓(11層含以上有電梯),住家用,,,16.45,1,1,1,有,,,850,51.67,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。?同移轉大安區辛亥段四小段615-1、615-2、762-1地號，同一價格。,,,,
買賣,北投區,土地,,立農段二小段0318-0000地號,1.36,,1150519,土地:1建物:0車位:,,,,,,,,0,,,,無,,,32,23.53,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,內湖區,房屋,,新明路71號,0,,1150429,土地:建物:1車位:房間個數:,,一層,005,廠辦,工業用,,,22.97,,,,無,無,無,3,1349.59,否,,0,0,,,,,租金：含稅。,,115/04/30至116/05/30,無,
買賣,大同區,房地(土地+建物),,民族西路282巷26之1號,5.67,,1150331,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),,,,18.53,2,2,1,有,,,1260,68,否,,0,0,無,,,,建築物含有：其他增建。,,,,
買賣,信義區,房地(土地+建物),,逸仙路26巷23號十一樓,2.73,,1150408,土地:1建物:1車位:,,十一層,,大樓(11層含以上有電梯),住家用,,,27.91,3,3,3,有,,,3070,110,否,,0,0,有,,,,,,,,
買賣,中正區,房地(土地+建物)+車位,,紹興南街22號二樓之1,4.59,,1110618,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,屋頂突出物,地下一層,地下二層,地下三層",,華廈(10層含以下有電梯),見其他登記事項,,,32.86,2,1,1,有,,,3262,123.8,否,塔式車位1,8.53,250,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,萬華區,房屋,,寶興街222巷24號二樓,0,,1150501,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),見使用執照,,,26.93,3,1,1,有,無,熱水器,3,1002.6,否,,0,0,,,,,,整棟(戶)出租,115/06/10至118/06/09,無,社會住宅包租轉租
買賣,信義區,房地(土地+建物),,松山路246號,4.09,,1150429,土地:2建物:1車位:,,一層,,大樓(11層含以上有電梯),見其他登記事項,,,26.61,2,1,1,有,,,850,31.94,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
租賃,中山區,房屋,,中山北路二段59巷21號十一樓,0,,1150507,土地:建物:1車位:房間個數:,,十一層,014,住宅大樓(11層含以上有電梯),商業用,,,11.53,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,2,1994.8,否,,0,0,,,,,,獨立套房,115/05/18至116/05/17,有,社會住宅代管
租賃,士林區,房屋,,基河路128號十樓之9,0,,1150504,土地:建物:1車位:房間個數:0,,十層,011,住宅大樓(11層含以上有電梯),住家用,,,8.51,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,1,1739.13,否,,0,0,,,,,其他：續租案件。,獨立套房,115/05/10至116/05/09,有,社會住宅代管
租賃,文山區,房屋,,木新路二段15之2號八樓,0,,1150506,土地:建物:1車位:房間個數:,,八層,012,住宅大樓(11層含以上有電梯),住家用,,,9.12,1,1,1,有,有,冷氣2台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,1,1096.49,否,,0,0,,,,,,獨立套房,115/05/15至118/05/14,有,社會住宅包租轉租
買賣,中山區,房地(土地+建物),,天津街37號四樓之1,1.56,,1150202,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),商業用,,,12.2,1,1,1,有,,,950,77.87,否,,0,0,有,,,,,,,,
預售屋,內湖區,房地(土地+建物)+車位,義泰值境,臺北市內湖區週美里新豐街,10.79,,1150303,土地:1建物:1車位:1,0棟A3-3F號,三層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,50.74,3,2,2,有,,,4810,114.47,否,坡道平面1,11.43,310,,23.74,2.27,24.74,,,,,
租賃,內湖區,房屋,,成功路二段450號八樓之3,0,,1150505,土地:建物:1車位:房間個數:,,八層,011,住宅大樓(11層含以上有電梯),見其他登記事項,,,12.48,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,3,2003.21,否,,0,0,,,,,其他：續租案件。國家住宅及都市更新中心社會住宅包租代管計畫之物件。,獨立套房,115/05/16至116/05/15,有,社會住宅代管
租賃,中山區,房屋,,雙城街13巷11號九樓之2,0,,1150503,土地:建物:1車位:房間個數:,,九層,015,住宅大樓(11層含以上有電梯),住家用,,,36.06,2,2,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,7,1802.55,否,,0,0,,,,,租金：含下列其他衍生費用：管理費。其他：續租案件。,整棟(戶)出租,115/05/03至116/05/02,有,無
買賣,北投區,房地(土地+建物),,吉利街120號,6.77,,1150522,土地:1建物:1車位:,,"一層,騎樓",,公寓(5樓含以下無電梯),住家用,,,19.87,,,,無,,,580,29.19,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,北投區,房地(土地+建物)+車位,,溫泉路58巷7之3號四樓,13.16,,1141214,土地:1建物:1車位:1,,四層,,公寓(5樓含以下無電梯),住家用,,,51.9,3,2,2,有,,,1900,36.61,是,坡道平面1,0,210,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,大安區,房地(土地+建物),,信義路四段53巷16號二樓之3,2.53,,1150416,土地:1建物:1車位:,,二層,,華廈(10層含以下有電梯),住家用,,,12.03,1,1,1,有,,,1770,147.13,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
租賃,中山區,房屋,,農安街20號六樓之5,0,,1150501,土地:建物:1車位:房間個數:,,六層,011,住宅大樓(11層含以上有電梯),商業用,,,11.72,1,1,1,有,有,冷氣2台、洗衣機、冰箱、傢俱,3,2218.43,否,,0,0,,,,,,整棟(戶)出租,115/05/01至116/04/30,有,無
預售屋,大同區,房地(土地+建物)+車位,毅聯首馥,臺北市大同區涼州街1-13號旁,3.93,,1150507,土地:43建物:1車位:1,A3棟14號,十四層,018,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,46.08,3,2,2,有,,,4680,115.15,否,坡道平面1,8.26,325,,22.69,2.44,20.95,,,,,
買賣,大同區,房地(土地+建物),,昌吉街61巷35弄2號二樓之3,6.17,,1150407,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,16.87,1,2,1,有,,,520,30.82,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,萬華區,房地(土地+建物),,民和街55巷17之2號二樓,9.28,,1141207,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,32.86,3,2,2,有,,,1340,40.78,否,,0,0,無,,,,,,,,
租賃,中山區,房屋,,新生北路二段108號十三樓之7,0,,1150507,土地:建物:1車位:房間個數:0,,十三層,014,住宅大樓(11層含以上有電梯),商業用,,,8.63,1,0,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,1,1555.04,否,,0,0,,,,,其他：續租案件。此案件租金總額為14000元，包含管理費580元(由出租人負擔),獨立套房,115/05/15至116/05/14,有,社會住宅代管
買賣,大安區,房地(土地+建物),,大安路一段204號十二樓之3,1.71,,1150423,土地:1建物:1車位:,,十二層,,大樓(11層含以上有電梯),住家用,,,16.92,2,1,1,有,,,2500,147.75,否,,0,0,有,,,,建築物含有：夾層、其他增建。,,,,
租賃,內湖區,房屋,,麗山街157號五樓,0,,1150505,土地:建物:1車位:房間個數:,,五層,005,公寓(無電梯),住家用,,,27.01,3,1,1,有,無,冷氣1台、瓦斯或天然氣,2,888.56,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/05至116/05/04,無,社會住宅代管
租賃,中正區,房屋,,忠孝東路二段7號,0,,1150502,土地:建物:車位:房間個數:1,,三層,004,透天厝,,,,9.38,6,6,6,有,無,冷氣2台、熱水器、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,3,0,-,,0,0,,,,,承租人：多人共同承租，共2人。租賃標的：含增建或未登記建物。,分租套房,115/05/02至116/05/17,無,一般轉租
租賃,中正區,房屋,,延平南路160之7號,0,,1150502,土地:建物:車位:房間個數:1,,三層,004,公寓(無電梯),,,,5.77,12,0,12,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,2,2720.97,否,,0,0,,,,,301室,分租套房,115/05/07至116/05/06,無,一般轉租
買賣,內湖區,房地(土地+建物)+車位,,民權東路六段150號十樓,4.82,,1150320,土地:1建物:1車位:1,,十層,,大樓(11層含以上有電梯),住家用,,,64.97,3,2,2,有,,,4458,78.45,否,坡道平面1,11.33,250,有,,,,,,,,
買賣,文山區,房地(土地+建物)+車位,,興隆路四段165巷15號四樓,9.08,,1150520,土地:1建物:1車位:1,,四層,,華廈(10層含以下有電梯),住家用,,,45,3,2,2,有,,,1980,44,是,坡道平面1,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。二等親之間交易,,,,
買賣,文山區,房地(土地+建物)+車位,,指南路三段2巷6之1號九樓,6.67,,1150123,土地:1建物:1車位:1,,九層,,大樓(11層含以上有電梯),住家用,,,32.75,2,2,1,有,,,1620,65.49,否,坡道平面1,11.83,250,有,,,,,,,,
買賣,信義區,土地,,祥和段二小段0057-0000地號,9.38,,1150511,土地:2建物:0車位:,,,,,,,,0,,,,無,,,337,35.93,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,
租賃,大安區,房屋,,浦城街1號四樓,0,,1141106,土地:建物:車位:房間個數:6,,四層,005,公寓(無電梯),住家用,,,4.42,6,1,4,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,2,3619.91,否,,0,0,,,,,租金：含下列其他衍生費用：網路費、其他-清潔費。,分租雅房,114/11/10至115/11/10,無,一般轉租
租賃,中正區,房屋,,延平南路61號六樓之13,0,,1150504,土地:建物:1車位:房間個數:,,六層,010,華廈(10層含以下有電梯),住家用,,,13.29,1,0,1,有,有,冷氣1台、熱水器、洗衣機,2,1655.38,否,,0,0,,,,,其他：續租案件。,獨立套房,115/05/17至116/03/03,有,社會住宅包租轉租
租賃,萬華區,房屋,,康定路105號九樓之15,0,,1150505,土地:建物:1車位:房間個數:,,九層,026,住宅大樓(11層含以上有電梯),住家用,,,14.93,1,1,1,有,有,冷氣1台、熱水器、洗衣機、冰箱、傢俱,2,1473.54,否,,0,0,,,,,承租人：多人共同承租，共2人。,獨立套房,115/05/07至116/05/06,有,社會住宅包租轉租
租賃,信義區,房屋,,忠孝東路五段369號四樓之8,0,,1150507,土地:建物:1車位:房間個數:,,四層,011,住宅大樓(11層含以上有電梯),見其他登記事項,,,12.12,1,1,1,有,有,冷氣2台、熱水器、洗衣機、冰箱、瓦斯或天然氣、傢俱,2,1980.2,否,,0,0,,,,,其他：續租案件。此為國家住宅都市更新中心社會住宅包租代管計畫之物件。,獨立套房,115/05/15至116/05/14,有,社會住宅代管
買賣,大同區,房地(土地+建物)+車位,,涼州街2號十四樓之7,6.85,,1140811,土地:1建物:1車位:2,,十四層,,大樓(11層含以上有電梯),住家用,,,75.5,3,2,2,有,,,5380,90.56,否,坡道平面2,23.82,700,有,,,,,,,,
租賃,大安區,房屋+車位,,忠孝東路四段170巷18弄2號六樓,0,,1150502,土地:建物:2車位:1房間個數:,,六層,008,華廈(10層含以下有電梯),住家用,,,57.68,4,2,2,有,有,無,10,1733.7,是,升降平面1,0,0,,,,,租賃標的：含有多個門牌且未個別計算租金-台北市大安區忠孝東路四段170巷18弄2號6樓，台北市大安區忠孝東路四段170巷18弄2之1號6樓。承租1車位(地下二層25號)，因車位面積無法拆算，故本次未申報,整棟(戶)出租,115/05/25至116/05/24,有,無
租賃,松山區,房屋+車位,,南京東路五段202號八樓之4,0,,1150422,土地:建物:1車位:1房間個數:,,八層,014,辦公商業大樓,商業用,,,49.9,,,,無,有,冷氣1台,7,1302.61,是,坡道平面1,12.7,0,,,,,租賃標的：租賃期間有約定不同租金-有免租金裝潢期間，期間:115年05月01日起至115年05月15日止。。,,115/05/01至118/05/14,有,
租賃,萬華區,房屋,,昆明街287號七樓之1,0,,1150501,土地:建物:1車位:房間個數:0,,七層,014,住宅大樓(11層含以上有電梯),見其他登記事項,,,24.97,2,2,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,4,1622.07,否,,0,0,,,,,租金已扣除管理費3997元,整棟(戶)出租,115/05/05至116/05/04,有,無
租賃,萬華區,房屋,,西寧南路67號二樓,0,,1150507,土地:建物:車位:房間個數:1,,二層,010,華廈(10層含以下有電梯),商業用,,,7.26,8,0,8,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、網路、傢俱,3,3553.72,否,,0,0,,,,,租金：含下列其他衍生費用：水費、電費、瓦斯費。飯店式管理，提供24小時現場櫃檯服務、專人客房及垃圾清潔、專人設備修繕、免費零食mini bar，並可接受30日以上之短租(最低租期非一年),分租套房,115/05/10至115/06/09,無,一般轉租
租賃,中山區,房屋,,中山北路一段105巷7號三樓,0,,1150501,土地:建物:2車位:房間個數:,,見其他登記事項,004,公寓(無電梯),,,,70.52,9,0,9,有,無,冷氣9台、熱水器、電視機、冰箱、傢俱,19,2702.44,否,,0,0,,,,,租賃標的：含有多個門牌且未個別計算租金-臺北市中山區中山北路一段105巷7號三樓。,整棟(戶)出租,115/05/01至116/06/30,無,一般轉租
買賣,士林區,房地(土地+建物)+車位,,士商路12號二樓之1,7.41,,1150211,土地:2建物:3車位:1,,二層,,華廈(10層含以下有電梯),住家用,,,39.13,3,0,1,有,,,2592,65.19,否,塔式車位1,2.44,200,有,,,,建築物含有：其他增建。,,,,
買賣,中山區,房地(土地+建物),,南京東路三段195號三樓,5.67,,1150429,土地:1建物:1車位:,,三層,,華廈(10層含以下有電梯),住家用,,,33.94,,,,無,,,3168,93.34,否,,0,0,有,,,,,,,,
買賣,大同區,房地(土地+建物)+車位,,民權西路129號十一樓之1,2.67,,1110922,土地:2建物:1車位:1,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,25.78,2,2,2,有,,,2503,94.89,否,其他1,1.51,200,有,,,,預售屋、或土地及建物分件登記案件。,,,,
買賣,大安區,車位,,信義路二段212號等共有部分,0,,1150427,土地:0建物:1車位:9,,"地下一層,地下二層,地下三層,地下四層,地下五層",,,見其他登記事項,,,74.6,,,,無,,,2035,0,-,"坡道平面2,坡道機械7",74.59,2035,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。僅車位交易。,,,,
租賃,內湖區,房屋,,陽光街68巷57號三樓之2,0,,1150505,土地:建物:1車位:房間個數:,,三層,014,住宅大樓(11層含以上有電梯),住家用,,,32.15,3,2,2,有,有,冷氣4台、熱水器、瓦斯或天然氣,4,1181.96,否,,0,0,,,,,,整棟(戶)出租,115/05/16至117/05/15,有,無
租賃,信義區,房屋,,忠孝東路四段569號十一樓之1,0,,1150501,土地:建物:車位:房間個數:2,,十一層,014,住宅大樓(11層含以上有電梯),見其他登記事項,,,48.05,2,2,2,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,23,4828.3,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、電費、瓦斯費、網路費。租賃標的：未租賃車位，建物登記含有車位面積。,分租套房,115/05/13至115/11/12,有,一般轉租
預售屋,萬華區,房地(土地+建物),ASTER ONE,臺北市萬華區中華路一段,1.2,,1150507,土地:1建物:1車位:,0棟A2-12F號,十二層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,15.2,1,1,1,有,,,1975,129.93,否,,0,0,,9.36,0.65,5.19,,,,,
買賣,內湖區,房地(土地+建物),,內湖路二段352號二樓之2,3.44,,1150210,土地:1建物:2車位:,,二層,,大樓(11層含以上有電梯),商業用,,,29.94,2,2,1,有,,,2318,77.42,否,,0,0,有,,,,建築物含有：其他增建。,,,,
買賣,士林區,房地(土地+建物)+車位,,芝玉路一段200號十五樓,15.32,,1150514,土地:1建物:1車位:2,,十五層,,大樓(11層含以上有電梯),住家用,,,82.5,4,2,2,有,,,5350,64.85,是,坡道平面2,0,0,有,,,,,,,,
買賣,南港區,房地(土地+建物)+車位,,市民大道八段195號五樓,16.45,,1090308,土地:1建物:1車位:2,,五層,,大樓(11層含以上有電梯),見其他登記事項,,,122.66,,,,無,,,11025,106.6,否,坡道平面2,24.86,600,有,,,,預售屋、或土地及建物分件登記案件。本案於114年3月19日簽立讓渡同意書，讓渡金額為1億1242萬4仟元整。,,,,
租賃,中正區,房屋,,水源路29巷4號二樓,0,,1150501,土地:建物:1車位:房間個數:,,二層,005,公寓(無電梯),住家用,,,11.05,1,1,1,有,無,熱水器、冰箱、瓦斯或天然氣,2,1719.46,否,,0,0,,,,,,獨立套房,115/05/01至116/04/30,無,社會住宅代管
買賣,北投區,房地(土地+建物)+車位,,文林北路127號九樓,9.43,,1120928,土地:2建物:1車位:1,,九層,,大樓(11層含以上有電梯),見其他登記事項,,,56.9,3,2,2,有,,,6245,123.57,否,坡道平面1,8.79,300,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,中山區,房屋,,建國北路一段63號六樓,0,,1150501,土地:建物:1車位:房間個數:,,六層,013,住宅大樓(11層含以上有電梯),住家用,,,51.39,2,2,2,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路、傢俱,9,1815.49,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費。,整棟(戶)出租,115/05/01至117/04/30,有,無
租賃,松山區,房屋,,南京東路五段123巷15號三樓,0,,1150501,土地:建物:1車位:房間個數:,,三層,004,公寓(無電梯),住家用,,,25.95,4,0,4,有,無,冷氣4台、熱水器、電視機、冰箱、傢俱,3,1222.89,否,,0,0,,,,,租賃標的：租賃期間有約定不同租金-115/5/1-119/5/31每月31734元，119/6/1-124/5/31每月32895元。,整棟(戶)出租,115/05/01至124/05/31,無,一般轉租
買賣,北投區,房地(土地+建物)+車位,,中和街211號八樓,2.43,,1080914,土地:1建物:1車位:1,,八層,,大樓(11層含以上有電梯),見其他登記事項,,,29,2,2,1,有,,,1588,56.17,否,塔式車位1,3.4,150,有,,,,預售屋、或土地及建物分件登記案件。本案於110.8.10.第一次權利轉讓，112.12.12.第二次權利轉讓，第二次權利轉讓總金額1734萬元整。,,,,
買賣,大安區,房地(土地+建物),,延吉街137巷4號四樓,7.96,,1150515,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),住家用,,,40.4,4,2,2,有,,,3000,74.26,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：陽台外推。,,,,
租賃,內湖區,房屋,,康樂街136巷15弄12號三樓,0,,1150504,土地:建物:1車位:房間個數:,,三層,005,公寓(無電梯),住家用,,,31.24,3,1,2,有,無,冷氣3台、熱水器、瓦斯或天然氣、傢俱,2,576.18,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/27至116/05/26,無,社會住宅代管
買賣,北投區,土地,,豐年段一小段0457-0000地號,143.25,,1150319,土地:2建物:0車位:,,,,,,,,0,,,,無,,,1800,12.57,-,,0,0,無,,,,,,,,
買賣,南港區,房地(土地+建物)+車位,,研究院路三段8巷6號六樓,21.46,,1141202,土地:2建物:1車位:1,,六層,,華廈(10層含以下有電梯),住家用,,,54.11,3,2,2,有,,,2900,53.59,是,坡道平面1,0,0,有,,,,建築物含有：陽台外推。車位編號:B1-189號,,,,
租賃,大安區,房屋,,忠孝東路四段181巷40弄15號四樓,0,,1150505,土地:建物:1車位:房間個數:,,四層,005,公寓(無電梯),住家用,,,43.56,4,2,2,有,無,冷氣5台、熱水器、瓦斯或天然氣,6,1262.63,否,,0,0,,,,,,整棟(戶)出租,115/05/12至118/05/11,無,無
買賣,內湖區,土地,,碧湖段三小段0241-0000地號,27.07,,1150511,土地:1建物:0車位:,,,,,,,,0,,,,無,,,901,33.28,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地,,,,
買賣,中山區,房地(土地+建物),,新生北路三段61號九樓之1,1.68,,1150531,土地:3建物:1車位:,,九層,,華廈(10層含以下有電梯),住家用,,,11.95,,,,無,,,800,66.95,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
租賃,中山區,房屋,,新生北路二段66號十樓之6,0,,1150504,土地:建物:1車位:房間個數:,,十層,012,住宅大樓(11層含以上有電梯),商業用,,,6.71,1,0,1,有,有,冷氣1台、熱水器、電視機、冰箱、傢俱,1,1937.41,否,,0,0,,,,,,獨立套房,115/05/10至116/05/09,有,社會住宅包租轉租
